Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_P-value	diff	greater_AF_in
ORC6	0.00327103	7	2152	0.000666398	43	64598	0.183878170577852	2.2952890150554	0.001063875019983281	ORC6	38.89	38.88999938964844	38.89	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.9731093883188646	0.7354698257390886	0.002604632	PL
MTFMT	0.004646838	10	2152	0.0013318778	86	64598	0.437737857175423	1.80278762890879	0.0010822364488398935	MTFMT	35.8	35.79999923706055	35.8	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.965677843473598	0.358785892382956	0.0033149602000000005	PL
ENAM	0.003252788	7	2152	0.000681526	44	64598	0.239169471694658	2.25483619644717	0.001199193530920429	ENAM	34.17	34.16999816894531	34.17	100.0	100.0	100.0	99.67	99.66999816894533	99.67	PASS	2.92111072296593	0.6212942557901433	0.002571262	PL
MPZL2	0.004182158	9	2152	0.0011305156	73	64598	0.509089435317094	1.88726666731511	0.001308205544935884	MPZL2	40.75	40.75	40.75	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.8833240144075747	0.2932059153985212	0.0030516424000000004	PL
DARS2	0.00325279	7	2152	0.0007125649	46	64598	0.392478622003191	2.19058435995427	0.0015100157126092086	DARS2	35.31	35.310001373291016	35.31	100.0	100.0	100.0	99.94	99.94000244140624	99.94	PASS	2.821018533591617	0.4061839939477711	0.0025402251	PL
BCHE	0.014405184	31	2152	0.0246422733	1592	64598	7.26288826191285	-0.774547265315741	0.0016728789408944015	BCHE	39.61	39.61000061035156	39.61	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.77653548593768	-0.8611093626788182	-0.0102370893	NFE
PYGM	0.000464684	1	2152	0.0043360702	280	64598	21.1060370905669	-3.22206623784944	0.0019158846150351939	PYGM	42.36	42.36000061035156	42.36	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.7176306500395513	-1.324406697009001	-0.0038713862	NFE
MCCC1	0.0027881	6	2152	0.0005729791	37	64598	0.76839193143766	2.28272788559823	0.002446062142959075	MCCC1	34.01	34.0099983215332	34.01	100.0	100.0	100.0	94.46	94.45999908447266	94.46	PASS	2.6115325137750447	0.11441720413113882	0.0022151209	PL
DVL2	0.0	0	2152	0.0029900058	193	64598	38.8541001100157	0.0	0.003367788840217549	DVL2	39.87	39.869998931884766	39.87	100.0	100.0	100.0	99.01	99.01000213623048	99.01	PASS	2.4726551465082607	-1.5894368548280315	-0.0029900058	NFE
LZTS2	0.0	0	2152	0.003033628	196	64598	36.7098126765604	0.0	0.0034612283066044443	LZTS2	41.45	41.45000076293945	41.45	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.460769753196967	-1.564782168384572	-0.003033628	NFE
NPHS2	0.002788108	6	2152	0.0006504302	42	64598	2.4783457727059	2.09982029686769	0.004296752081346235	NPHS2	33.8	33.79999923706055	33.8	100.0	100.0	100.0	99.2	99.1999969482422	99.2	PASS	2.3668597039864374	-0.39416189796506496	0.0021376778	PL
NHLRC2	0.00185874	4	2152	0.0002787676	18	64598	1.50537906472624	2.73719018300409	0.0049508633773785475	NHLRC2	37.34	37.34000015258789	37.34	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.3053190581704914	-0.1776458720163806	0.0015799724	PL
SLC19A1	0.002790264	6	2152	0.000681632	44	64598	3.70232617662186	2.0333366574273	0.0052697206373544464	SLC19A1	47.43	47.43000030517578	47.43	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.2782124073436703	-0.5684746776440075	0.002108632	PL
GAA	0.003252792	7	2152	0.0085721651	554	64598	22.7639728706254	-1.3979810645069	0.005290515944273825	GAA	44.03	44.02999877929688	44.03	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.276501972421389	-1.3572480593583263	-0.005319373099999999	NFE
DNAH17	0.000929368	2	2152	3.09707e-05	2	64598	0.206292790174308	4.90727407452843	0.005969099881348461	DNAH17	40.16	40.15999984741211	40.16	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.2240911539688457	0.6855159501278159	0.0008983973	PL
BCKDHB	0.003252784	7	2152	0.0009450935	61	64598	6.20592460024299	1.78314605366511	0.006264333045204865	BCKDHB	34.51	34.5099983215332	34.51	100.0	100.0	100.0	99.79	99.79000091552734	99.79	PASS	2.2031251609357896	-0.7928064947580842	0.0023076905	PL
PIGT	0.00232342	5	2152	0.0005111561	33	64598	5.24422601467582	2.18441412816126	0.007184847786488824	PIGT	36.67	36.66999816894531	36.67	100.0	100.0	100.0	99.91	99.91000366210938	99.91	PASS	2.1435824281126648	-0.7196814005640675	0.0018122639	PL
ARHGEF39	0.0	0	2152	0.0027259732	176	64598	53.7021140881591	0.0	0.007965753618105174	ARHGEF39	39.48	39.47999954223633	39.48	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.0987731305091843	-1.7299913828829707	-0.0027259732	NFE
HINT1	0.00232342	5	2152	0.0005420169	35	64598	8.07176131473518	2.09984023043354	0.008934570912132924	HINT1	40.19	40.18999862670898	40.19	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.048926299897861	-0.9069683111542707	0.0017814031	PL
SCP2	0.00139405	3	2152	0.0001703472	11	64598	3.84116003139709	3.03273216773497	0.009330389932190737	SCP2	36.03	36.02999877929688	36.03	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.0301002060005424	-0.5844624012304946	0.0012237028	PL
CTC1	0.003252788	7	2152	0.0010533823	68	64598	15.2015260505308	1.626647674817	0.01057608071718	CTC1	36.59	36.59000015258789	36.59	100.0	100.0	100.0	99.26	99.26000213623048	99.26	PASS	1.975675243288456	-1.1818871880801136	0.0021994057	PL
AGXT	0.0	0	2152	0.0024274356	157	64598	77.4516351075895	0.0	0.01089257882168167	AGXT	40.39	40.38999938964844	40.39	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.9628692887070995	-1.8890305907292804	-0.0024274356	NFE
USP45	0.001394052	3	2152	0.000185902	12	64598	6.34891383759536	2.90667018017921	0.011386573138884536	USP45	35.95	35.95000076293945	35.95	100.0	100.0	100.0	99.65	99.6500015258789	99.65	PASS	1.9436069599245773	-0.802699433215351	0.00120815	PL
CLASP1	0.0	0	2152	0.0025397247	164	64598	67.6350729064969	0.0	0.011762750616815011	CLASP1	36.53	36.52999877929688	36.53	100.0	100.0	100.0	99.36	99.36000061035156	99.36	PASS	1.92949111040079	-1.830171962505554	-0.0025397247	NFE
