Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	fisher_p_corr	fisher_q	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_fisher_p_corr	pscaled_P-value	diff	greater_AF_in
OTOG	0.007434944	16	2152	0.0015798706	102	64598	2.3558766176e-06	2.23451547727313	1.349826124100071e-06	0.0025336236349358335	0.00028416647371774426	OTOG	39.33	39.33000183105469	39.33	100.0	100.0	100.0	100.0	100.0	100.0	PASS	5.869722170917762	2.596257898296416	5.62784745823919	0.0058550734	PL
GP6	0.00836431	18	2152	0.0019975296	129	64598	5.5541238221e-06	2.06602965081235	1.384489518722262e-06	0.002598686826641686	0.00028416647371774426	GP6	36.98	36.97999954223633	36.98	100.0	100.0	100.0	100.0	100.0	100.0	PASS	5.858710327732285	2.585246055110939	5.255384442436799	0.0063667804	PL
PIGV	0.004182158	9	2152	0.0004646057	30	64598	1.064068053e-07	3.17016880828485	3.267898092340186e-06	0.00613384471932253	0.0006191410001102983	PIGV	42.32	42.31999969482422	42.32	100.0	100.0	100.0	100.0	100.0	100.0	PASS	5.485731495170342	2.212267222548996	6.9730305956337775	0.0037175523	PL
F7	0.006040892	13	2152	0.0011630364	75	64598	1.14412610949e-05	2.37686534397795	4.954058994968091e-06	0.009298768733555106	0.0008715605217576005	F7	37.42	37.41999816894531	37.42	100.0	100.0	100.0	99.84	99.83999633789062	99.84	PASS	5.305038825962425	2.0315745533410787	4.941526103482577	0.0048778556	PL
ALOX12B	0.00511153	11	2152	0.0009913307	64	64598	0.0002562213298919	2.36631687368346	2.8036080208299235e-05	0.052623722550977664	0.004603524370202734	ALOX12B	41.5	41.5	41.5	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.552282706215532	1.2788184335941861	3.591384718975566	0.0041201993	PL
KIAA0586	0.0	0	2152	0.0052027868	336	64598	2.66874247482642	0.0	3.2064175719047125e-05	0.060184457824651455	0.004935879049750817	KIAA0586	36.43	36.43000030517578	36.43	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.49397992010884	1.2205156474874939	-0.42630666777107795	-0.0052027868	NFE
SBDS	0.0	0	2152	0.0049748723	321	64598	3.49830990121205	0.0	4.617716948179176e-05	0.08667454711732314	0.0065314436988227805	SBDS	35.74	35.7400016784668	35.74	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.335572691516579	1.062108418895233	-0.5438582792492416	-0.0049748723	NFE
XPA	0.003252784	7	2152	0.0003717554	24	64598	4.41231320812e-05	3.12924942022386	4.773284067349169e-05	0.0895945419441439	0.0065314436988227805	XPA	40.8	40.79999923706055	40.8	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.321182719161684	1.0477184465403377	4.355333666737233	0.0028810286	PL
C8B	0.007900056	17	2152	0.0024491506	158	64598	0.0069169081606573	1.68958139098612	5.746447746954252e-05	0.1078608242103313	0.007315039462935004	C8B	33.98	33.97999954223633	33.98	100.0	100.0	100.0	99.68	99.68000030517578	99.68	PASS	4.240600538028083	0.9671362654067366	2.160087990633961	0.005450905400000001	PL
SLC26A3	0.003252784	7	2152	0.0003872799	25	64598	8.74690789388e-05	3.07022649198887	5.939942722643121e-05	0.11149272490401138	0.007315039462935004	SLC26A3	37.02	37.02000045776367	37.02	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.226217742789844	0.9527534701684977	4.058145446630025	0.0028655041	PL
SBF2	0.00185874	4	2152	6.19819e-05	4	64598	1.683571403e-07	4.90633419025553	6.796021217808728e-05	0.12756131825826983	0.007970762028315665	SBF2	37.13	37.130001068115234	37.13	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.167745273893212	0.8942810012718658	6.773768459750326	0.0017967581	PL
ABCB11	0.003253218	7	2152	0.0004028471	26	64598	0.00016631374863	3.01356322637774	7.329666161314696e-05	0.13757783384787683	0.008205894434235498	ABCB11	34.73	34.72999954223633	34.73	100.0	100.0	100.0	99.85	99.8499984741211	99.85	PASS	4.1349158053862345	0.8614515327648884	3.779071847549356	0.0028503709	PL
HPGD	0.002788104	6	2152	0.0002788313	18	64598	9.2357606091e-05	3.32181995259324	9.101230893320202e-05	0.17083010386762018	0.009746231169672895	HPGD	38.13	38.130001068115234	38.13	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.040899867676021	0.7674355950546753	4.0345273325212405	0.0025092727	PL
PROP1	0.00371747	8	2152	0.000619838	40	64598	0.0022597303485164	2.5843579906664	0.00013768597968133198	0.25843658386186014	0.014130023664796695	PROP1	30.83	30.82999992370605	30.83	100.0	100.0	100.0	93.92	93.91999816894533	93.92	PASS	3.861110280927062	0.5876460083057159	2.645943381710249	0.003097632	PL
AP4B1	0.0027881	6	2152	0.0003097648	20	64598	0.0004425218492556	3.17003718839618	0.0001473098187619798	0.2765005298162361	0.01451296334443025	AP4B1	34.81	34.810001373291016	34.81	100.0	100.0	100.0	98.6	98.5999984741211	98.6	PASS	3.8317683048068596	0.5583040321855133	3.3540652814025855	0.0024783352	PL
PADI3	0.00836431	18	2152	0.0184319913	1191	64598	1.69971480997973	-1.13989350340342	0.00020080274337488664	0.3769067493146622	0.018797774174850027	PADI3	35.77	35.77000045776367	35.77	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.697230358138391	0.42376608551704487	-0.230376058529882	-0.010067681299999999	NFE
CNGB3	0.004184755	9	2152	0.0008529246	55	64598	0.0102898816132049	2.29465304588097	0.0002060657339508529	0.3867853826257509	0.018797774174850027	CNGB3	35.29	35.290000915527344	35.29	100.0	100.0	100.0	99.38	99.37999725341795	99.38	PASS	3.6859942197360573	0.41252994711471086	1.9875896218388895	0.0033318304	PL
FKBP14	0.00418216	9	2152	0.000867437	56	64598	0.0135112029586859	2.26941737032905	0.00023239566898217593	0.4362066706795442	0.020442519025110687	FKBP14	36.4	36.400001525878906	36.4	100.0	100.0	100.0	98.78	98.77999877929688	98.78	PASS	3.6337719698904367	0.36030769726909057	1.8693059822095666	0.003314723	PL
WDR35	0.00371747	8	2152	0.000681546	44	64598	0.0094455863940751	2.44743816164316	0.000245007219196594	0.45987855043200687	0.020808716582110722	WDR35	38.19	38.18999862670898	38.19	100.0	100.0	100.0	99.61	99.61000061035156	99.61	PASS	3.6108211188556574	0.3373568462343109	2.0247710753487307	0.003035924	PL
USF2	0.0	0	2152	0.00385616	249	64598	13.0188824392463	0.0	0.000472721068880888	0.8872974462894267	0.037663262135848356	USF2	33.29	33.290000915527344	33.29	100.0	100.0	100.0	96.07	96.06999969482422	96.07	PASS	3.3253950410336643	0.05193076841231811	-1.1145737053305187	-0.00385616	NFE
FLG-AS1	0.0	0	2152	0.0038725211	250	64598	12.7808206974588	0.0	0.00047404024612720223	0.8897735419807586	0.037663262135848356	FLG-AS1	35.43	35.43000030517578	35.43	100.0	100.0	100.0	99.78	99.77999877929688	99.78	PASS	3.3241847850580473	0.05072051243670089	-1.1065587421583631	-0.0038725211	NFE
COL18A1	0.00650558	14	2152	0.0021997828	142	64598	0.243679522895047	1.56431660167625	0.0005622566471306415	1.0553557266642142	0.043276191308836566	COL18A1	44.02	44.02000045776367	44.02	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.250065401530225	-0.023398871091121504	0.613180964320948	0.004305797200000001	PL
OBSL1	0.00325279	7	2152	0.0006194885	40	64598	0.0744040971802442	2.39252827908187	0.0007284218254975962	1.3672477664589882	0.05436675624850241	OBSL1	43.29	43.290000915527344	43.29	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.1376170500391636	-0.13584722258218274	1.128403148677532	0.0026333015	PL
SLC3A1	0.0	0	2152	0.0038100194	246	64598	13.7605663690643	0.0	0.0007557002300155484	1.4184493317391842	0.05474381372142046	SLC3A1	39.09	39.09000015258789	39.09	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.121650445594229	-0.15181382702711727	-1.138636309328078	-0.0038100194	NFE
PLG	0.000464684	1	2152	0.0046621842	301	64598	13.7502796056967	-3.32668412963798	0.0009191858794732803	1.7253118957713471	0.06468442346121969	PLG	34.5	34.5	34.5	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.0365966558971635	-0.2368676167241826	-1.1383115294373036	-0.0041975002	NFE
SMN1	0.00093985	2	2152	0.0	0	64598	1.73546644531e-05	0.0	0.0010389308530373842	1.95007321115117	0.07014600982875414	SMN1	10.26	10.260000228881836	10.26	48.62	48.619998931884766	48.62	20.49	20.489999771118164	20.49	LOW_DP	2.9834133563346645	-0.2900509162866819	4.760583778856635	0.00093985	PL
ORC6	0.00327103	7	2152	0.000666398	43	64598	0.175375673869221	2.2952890150554	0.001063875019983281	1.9968934125086184	0.07014600982875414	ORC6	38.89	38.88999938964844	38.89	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.9731093883188646	-0.30035488430248164	0.7560306472130665	0.002604632	PL
