symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)
CYTH4	40.24	40.2400016784668	40.24	100.0	100.0	100.0	100.0	100.0	100.0
IMPA2	39.27	39.27000045776367	39.27	100.0	100.0	100.0	100.0	100.0	100.0
HS3ST4	32.42	32.41999816894531	32.42	98.84	98.83999633789062	98.84	96.97	96.97000122070312	96.97
PRKAA2	36.45	36.45000076293945	36.45	100.0	100.0	100.0	99.98	99.9800033569336	99.98
FOSB	33.5	33.5	33.5	100.0	100.0	100.0	96.8	96.80000305175781	96.8
ACOT2	39.9	39.900001525878906	39.9	100.0	100.0	100.0	98.99	98.98999786376953	98.99
NXF2	1.83	1.8300000429153442	1.83	4.91	4.909999847412109	4.91	3.58	3.5799999237060547	3.58
OR10P1	32.79	32.790000915527344	32.79	100.0	100.0	100.0	96.82	96.81999969482422	96.82
PITX3	45.08	45.08000183105469	45.08	100.0	100.0	100.0	100.0	100.0	100.0
CFL1	35.24	35.2400016784668	35.24	100.0	100.0	100.0	100.0	100.0	100.0
KARS	37.52	37.80500030517578	38.09	100.0	100.0	100.0	100.0	100.0	100.0
PITPNM2	42.99	42.9900016784668	42.99	100.0	100.0	100.0	100.0	100.0	100.0
ZNF273	38.63	38.630001068115234	38.63	100.0	100.0	100.0	99.84	99.83999633789062	99.84
ZFAND1	35.66	35.65999984741211	35.66	100.0	100.0	100.0	100.0	100.0	100.0
ESRP2	39.54	39.540000915527344	39.54	100.0	100.0	100.0	99.95	99.94999694824219	99.95
TMEM64	36.46	36.459999084472656	36.46	100.0	100.0	100.0	99.58	99.58000183105469	99.58
NUTM2D	25.02	25.020000457763672	25.02	72.0	72.0	72.0	55.71	55.709999084472656	55.71
ZNF703	39.71	39.709999084472656	39.71	100.0	100.0	100.0	100.0	100.0	100.0
CCDC68	36.95	36.95000076293945	36.95	100.0	100.0	100.0	100.0	100.0	100.0
